player,pos,age,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,year,mpg,current_age,current_pos,min_year,year_in_league
Joffrey Lauvergne,C,26,SAS,55,534,16.5,0.536,0.026,.247,13,22.6,17.8,12.2,0.9,0.5,13.5,20.4,0.6,0.7,1.3,0.12,-0.4,-0.6,-1,0.1,2018,9.709090909090909,29,C,2015,3
John Collins,PF,20,ATL,74,1785,18.3,0.62,0.086,.341,11,22.8,16.9,8.9,1.3,3.8,14.3,17.9,3.4,2,5.4,0.145,-0.4,0.2,-0.2,0.8,2018,24.12162162162162,23,PF,2018,0
John Collins,PF,21,ATL,61,1829,21.8,0.627,0.19,.320,12.3,22.1,17.1,11,0.6,1.8,11.2,23.7,5,1,6,0.158,2.8,-1.9,0.9,1.3,2019,29.983606557377048,23,PF,2018,1
John Collins,PF,22,ATL,41,1363,23.5,0.659,0.243,.248,9,24,16.4,7.6,1.1,4.1,10.1,22.7,3.8,1.2,4.9,0.174,3.7,-0.6,3.1,1.7,2020,33.24390243902439,23,PF,2018,2
John Collins,PF,23,ATL,63,1848,20.6,0.645,0.27,.265,7.1,20.3,13.8,6.9,0.9,3,8.9,22.2,4.8,1.9,6.7,0.174,2.5,-0.4,2.1,1.9,2021,29.333333333333332,23,PF,2018,3
John Holland,SF,29,CLE,24,174,5.9,0.417,0.61,.220,3.9,11.4,7.7,3.9,2,1,11,18.5,-0.3,0.1,-0.2,-0.05,-3.6,-1.9,-5.5,-0.2,2018,7.25,32,SF,2018,0
John Holland,SF,30,CLE,1,1,0,NA,NA,,0,0,0,0,0,0,NA,0,0,0,0,-0.032,-3.4,-1.6,-5,0,2019,1,32,SF,2018,1
John Konchar,SG,23,MEM,19,181,18,0.713,0.27,.054,10.7,16.6,13.7,16.2,1.8,1.5,15.6,10.3,0.5,0.2,0.7,0.182,2.5,2,4.5,0.3,2020,9.526315789473685,24,SG,2020,0
John Konchar,SG,24,MEM,43,575,14.8,0.608,0.406,.217,6.4,17.3,11.8,10.7,2.5,1.4,10.6,12.4,0.9,0.8,1.7,0.145,-0.4,1.3,0.9,0.4,2021,13.372093023255815,24,SG,2020,1
Johnathan Motley,PF,22,DAL,11,176,17.2,0.55,0.08,.373,8.5,22.9,15.5,7.1,0.9,1,9.3,24.9,0.1,0.2,0.3,0.084,-1.3,-2,-3.3,-0.1,2018,16,25,PF,2018,0
Johnathan Motley,PF,23,LAC,22,156,18.9,0.563,0.041,.548,12.6,21.7,17.3,11.7,1.5,1.5,15,28.8,0.1,0.2,0.3,0.092,-1.2,-0.7,-1.9,0,2019,7.090909090909091,25,PF,2018,1
Johnathan Motley,PF,24,LAC,13,41,28.5,0.774,0.067,.467,7.8,17.3,12.7,32.9,3.5,0,21.7,23.5,0.2,0.1,0.3,0.299,4.8,3.3,8.1,0.1,2020,3.1538461538461537,25,PF,2018,2
Johnathan Williams,C,23,LAL,24,372,15.1,0.599,0.018,.436,13.6,13.9,13.7,4.9,1,1.5,10.9,16.4,0.7,0.3,1,0.135,-2,-1.1,-3.2,-0.1,2019,15.5,25,PF,2019,0
Johnathan Williams,PF,24,WAS,15,180,14,0.566,0.059,.382,14,25.3,19.4,5.9,0.3,3.9,11.2,10.3,0.3,0.1,0.4,0.109,-0.8,-1.4,-2.2,0,2020,12,25,PF,2019,1
Johnny O'Bryant,PF,21,MIL,34,368,3.8,0.379,0,.225,8.2,11.7,10,7.1,0.7,0.9,15.9,19.2,-0.8,0.3,-0.5,-0.063,-7.3,-2.2,-9.5,-0.7,2015,10.823529411764707,27,PF,2015,0
Johnny O'Bryant,PF,22,MIL,66,857,7.4,0.441,0.005,.191,8.7,14.7,11.7,5.4,1.1,0.8,12,13.5,-0.2,0.4,0.3,0.014,-4.2,-1.7,-5.9,-0.8,2016,12.984848484848484,27,PF,2015,1
Johnny O'Bryant,PF,23,TOT,11,80,14.9,0.582,0.2,.200,12.4,13.7,13.1,12.7,0,1,15.5,21.1,0.1,0,0.1,0.088,-0.5,-1.9,-2.4,0,2017,7.2727272727272725,27,PF,2015,2
Johnny O'Bryant,PF,24,CHO,36,379,11.9,0.47,0.251,.146,8.1,18.6,13.3,5.9,1.2,1.3,7.6,22.5,-0.1,0.4,0.3,0.038,-2.9,-1.5,-4.4,-0.2,2018,10.527777777777779,27,PF,2015,3
Jonah Bolden,PF,23,PHI,44,639,12.7,0.595,0.593,.167,8,19,13.7,8.5,1.3,4.8,17.2,13.8,0.5,0.9,1.4,0.106,-1.8,1.1,-0.7,0.2,2019,14.522727272727273,25,C,2019,0
Jonah Bolden,C,24,TOT,7,47,4.9,0.392,0.364,.364,7,14.3,10.6,0,3,3.7,13.6,13.4,-0.1,0.1,0,-0.006,-8.7,-0.1,-8.8,-0.1,2020,6.714285714285714,25,C,2019,1
Jonathan Gibson,PG,29,DAL,17,231,9.5,0.492,0.474,.305,0.5,11.1,5.5,18.8,1.8,0,16.3,26.3,-0.3,0.2,-0.1,-0.03,-3.1,-0.7,-3.7,-0.1,2017,13.588235294117647,33,PG,2017,0
Jonathan Gibson,PG,30,BOS,4,40,25.4,0.739,0.522,.000,0,8.1,4.1,22.6,0,0,11.5,29,0.1,0,0.2,0.195,4.9,-0.8,4.1,0.1,2018,10,33,PG,2017,1
Jonathan Isaac,PF,20,ORL,27,536,9.8,0.465,0.317,.172,3.3,17.2,10.2,4.8,3,4.5,14.8,15,-0.6,0.8,0.2,0.021,-3.8,2.4,-1.4,0.1,2018,19.85185185185185,23,PF,2018,0
Jonathan Isaac,PF,21,ORL,75,1996,13,0.537,0.435,.221,5.2,17,11,5.7,1.4,4.1,10.1,16.3,0.9,3.1,4,0.096,-1.4,1,-0.4,0.8,2019,26.613333333333333,23,PF,2018,1
Jonathan Isaac,PF,22,ORL,34,980,17.3,0.552,0.283,.232,6.2,19.6,12.7,7.4,2.6,7.2,11.8,18.3,0.6,1.9,2.5,0.12,-0.5,2.9,2.3,1.1,2020,28.823529411764707,23,PF,2018,2
Jonathon Simmons,SG,26,SAS,55,813,11.9,0.586,0.194,.380,2.3,10.8,6.7,10.4,1.5,0.5,15.8,18.9,0.7,1.3,2,0.119,-3.1,0.4,-2.7,-0.2,2016,14.781818181818181,31,SG-SF,2016,0
Jonathon Simmons,SG,27,SAS,78,1392,9.9,0.504,0.242,.314,1.7,11.1,6.5,13.2,1.7,1.5,13.7,18,-0.1,2.1,2,0.068,-3.7,1.1,-2.6,-0.2,2017,17.846153846153847,31,SG-SF,2016,1
