hoop_math_link,hoop_math_name,hoop_math_match_name,sref_name,sref_link
HighPoint2021.php,HighPoint,HighPoint,High Point,high-point
Hofstra2021.php,Hofstra,Hofstra,Hofstra,hofstra
HolyCross2021.php,HolyCross,HolyCross,Holy Cross,holy-cross
Houston2021.php,Houston,Houston,Houston,houston
HoustonBaptist2021.php,HoustonBaptist,HoustonBaptist,Houston Baptist,houston-baptist
Howard2021.php,Howard,Howard,Howard,howard
IUPUI2021.php,IUPUI,IUPUI,IUPUI,iupui
Idaho2021.php,Idaho,Idaho,Idaho,idaho
IdahoSt.2021.php,IdahoSt.,IdahoSt.,Idaho State,idaho-state
Illinois2021.php,Illinois,Illinois,Illinois,illinois
IllinoisSt.2021.php,IllinoisSt.,IllinoisSt.,Illinois State,illinois-state
Indiana2021.php,Indiana,Indiana,Indiana,indiana
IndianaSt.2021.php,IndianaSt.,IndianaSt.,Indiana State,indiana-state
Iona2021.php,Iona,Iona,Iona,iona
Iowa2021.php,Iowa,Iowa,Iowa,iowa
IowaSt.2021.php,IowaSt.,IowaSt.,Iowa State,iowa-state
JacksonSt.2021.php,JacksonSt.,JacksonSt.,Jackson State,jackson-state
Jacksonville2021.php,Jacksonville,Jacksonville,Jacksonville,jacksonville
JacksonvilleSt.2021.php,JacksonvilleSt.,JacksonvilleSt.,Jacksonville State,jacksonville-state
JamesMadison2021.php,JamesMadison,JamesMadison,James Madison,james-madison
Kansas2021.php,Kansas,Kansas,Kansas,kansas
KansasCity2021.php,KansasCity,Missouri-Kansas City,Missouri-Kansas City,missouri-kansas-city
KansasSt.2021.php,KansasSt.,KansasSt.,Kansas State,kansas-state
KennesawSt.2021.php,KennesawSt.,KennesawSt.,Kennesaw State,kennesaw-state
KentSt.2021.php,KentSt.,KentSt.,Kent State,kent-state
Kentucky2021.php,Kentucky,Kentucky,Kentucky,kentucky
LMU(CA)2021.php,LMU(CA),Loyola Marymount,Loyola Marymount,loyola-marymount
LSU2021.php,LSU,Louisiana State,Louisiana State,louisiana-state
LaSalle2021.php,LaSalle,LaSalle,La Salle,la-salle
Lafayette2021.php,Lafayette,Lafayette,Lafayette,lafayette
LamarUniversity2021.php,LamarUniversity,LamarUniversity,Lamar,lamar
Lehigh2021.php,Lehigh,Lehigh,Lehigh,lehigh
Liberty2021.php,Liberty,Liberty,Liberty,liberty
Lipscomb2021.php,Lipscomb,Lipscomb,Lipscomb,lipscomb
LittleRock2021.php,LittleRock,LittleRock,Little Rock,arkansas-little-rock
LongBeachSt.2021.php,LongBeachSt.,Cal State Long Beach,Cal State Long Beach,long-beach-state
Longwood2021.php,Longwood,Longwood,Longwood,longwood
Louisiana2021.php,Louisiana,Louisiana,Louisiana,louisiana-lafayette
LouisianaTech2021.php,LouisianaTech,LouisianaTech,Louisiana Tech,louisiana-tech
Louisville2021.php,Louisville,Louisville,Louisville,louisville
LoyolaChicago2021.php,LoyolaChicago,LoyolaChicago,Loyola (IL),loyola-il
LoyolaMaryland2021.php,LoyolaMaryland,LoyolaMaryland,Loyola (MD),loyola-md
Maine2021.php,Maine,Maine,Maine,maine
Manhattan2021.php,Manhattan,Manhattan,Manhattan,manhattan
Marist2021.php,Marist,Marist,Marist,marist
Marquette2021.php,Marquette,Marquette,Marquette,marquette
Marshall2021.php,Marshall,Marshall,Marshall,marshall
Maryland2021.php,Maryland,Maryland,Maryland,maryland
Massachusetts2021.php,Massachusetts,Massachusetts,Massachusetts,massachusetts
McNeese2021.php,McNeese,McNeese,McNeese State,mcneese-state
Memphis2021.php,Memphis,Memphis,Memphis,memphis
Mercer2021.php,Mercer,Mercer,Mercer,mercer
Merrimack2021.php,Merrimack,Merrimack,Merrimack,merrimack
Miami(FL)2021.php,Miami(FL),Miami(FL),Miami (FL),miami-fl
Miami(OH)2021.php,Miami(OH),Miami(OH),Miami (OH),miami-oh
Michigan2021.php,Michigan,Michigan,Michigan,michigan
MichiganSt.2021.php,MichiganSt.,MichiganSt.,Michigan State,michigan-state
MiddleTenn.2021.php,MiddleTenn.,MiddleTenn.,Middle Tennessee,middle-tennessee
Milwaukee2021.php,Milwaukee,Milwaukee,Milwaukee,milwaukee
Minnesota2021.php,Minnesota,Minnesota,Minnesota,minnesota
MississippiSt.2021.php,MississippiSt.,MississippiSt.,Mississippi State,mississippi-state
MississippiVal.2021.php,MississippiVal.,MississippiVal.,Mississippi Valley State,mississippi-valley-state
Missouri2021.php,Missouri,Missouri,Missouri,missouri
MissouriSt.2021.php,MissouriSt.,MissouriSt.,Missouri State,missouri-state
Monmouth2021.php,Monmouth,Monmouth,Monmouth,monmouth
Montana2021.php,Montana,Montana,Montana,montana
MontanaSt.2021.php,MontanaSt.,MontanaSt.,Montana State,montana-state
MoreheadSt.2021.php,MoreheadSt.,MoreheadSt.,Morehead State,morehead-state
MorganSt.2021.php,MorganSt.,MorganSt.,Morgan State,morgan-state
MountSt.Mary's2021.php,MountSt.Mary's,MountSt.Mary's,Mount St. Mary's,mount-st-marys
MurraySt.2021.php,MurraySt.,MurraySt.,Murray State,murray-state
N.C.A&T2021.php,N.C.A&T,North Carolina A&T,North Carolina A&T,north-carolina-at
N.C.Central2021.php,N.C.Central,North Carolina Central,North Carolina Central,north-carolina-central
NCState2021.php,NCState,North Carolina State,North Carolina State,north-carolina-state
NJIT2021.php,NJIT,NJIT,NJIT,njit
Navy2021.php,Navy,Navy,Navy,navy
Nebraska2021.php,Nebraska,Nebraska,Nebraska,nebraska
